CourseNumber,CourseTitle,CourseDescription,CourseDepartment,University
SPAN 8603,Cultural Studies,"Cultural Studies3 Credit Hours  Description Study of particular aspects or periods of Spanish, Latin American, and other Spanish speaking communities.     May be repeated if topics vary.",Sociology,GSU
SPAN 8710,Special Topics in Spanish Applied Linguistics,Special Topics in Spanish Applied Linguistics3 Credit Hours  Description      May be repeated for credit if topic varies.,Sociology,GSU
SPAN 8800,History of the Spanish Language,History of the Spanish Language3 Credit Hours  Description The phonological and morphological evolution of Spanish from Vulgar Latin to standard modern Spanish. Several old Spanish texts will be examined.,Sociology,GSU
SPAN 8805,Medieval Spanish Literature,Medieval Spanish Literature3 Credit Hours  Description Evolution of Spanish literature from the “jarcha” through La Celestina.,Sociology,GSU
SPAN 8810,Topics in Golden Age Literature,Topics in Golden Age Literature3 Credit Hours  Description Study of particular aspects or periods of Golden Age Literature.     May be repeated if topics vary.,Sociology,GSU
SPAN 8835,Contemporary Spanish Literature,Contemporary Spanish Literature3 Credit Hours  Description Study of particular aspects of Contemporary Spanish Literature.     May be repeated if topics vary.,Sociology,GSU
SPAN 8840,"Trauma, Memory, and Artistic Representation: State Terror in Argentina (1976-83)","Trauma, Memory, and Artistic Representation: State Terror in Argentina (1976-83)3 Credit Hours  Description A look at how different artistic expressions (literature, film, music, visual arts) have represented state terror and the trauma of the “desaparecidos” in the decades following the 1976-83 military dictatorship in Argentina.",Sociology,GSU
SPAN 8855,The Latin American “Boom” Novel,The Latin American “Boom” Novel3 Credit Hours   (Not open to students with prior credit for Span 855B)  Description The “Boom” phenomenon of the 1960s and 1970s (including early manifestations in the 1940s and 1950sas a radical departure from previous narrative forms.,Sociology,GSU
SPAN 8860,The Contemporary Latin American Novel,The Contemporary Latin American Novel3 Credit Hours   (Not open to students with prior credit for Span 855C)  Description Newest trends in the post-Boom novel since the mid-1970s as both a continuation and a departure from the “Boom.”.,Sociology,GSU
SPAN 8865,Latin American Short Story,"Latin American Short Story3 Credit Hours  Description The evolution of the genre in the nineteenth and twentieth centuries, as manifested in the various schools of romanticism, modernism, realism, naturalism, “vanguardismo,” and contemporary trends.",Sociology,GSU
SPAN 8880,Special Topics in Spanish Literature,Special Topics in Spanish Literature3 Credit Hours  Description      May be repeated for credit if topics vary.,Sociology,GSU
SPAN 8885,Special Topics in Latin American Literature and/or Culture,Special Topics in Latin American Literature and/or Culture3 Credit Hours  Description      May be repeated for credit if topics vary.,Sociology,GSU
SPAN 8895,Research,Research1 to 21 Credit Hours  Description Independent Research for credit.,Sociology,GSU
SPAN 8999,Thesis Research,Thesis Research1 to 9 Credit Hours  Description,Sociology,GSU
STAT 8090,Applied Multivariate Statistics,"Applied Multivariate Statistics3 Credit Hours Prerequisites: consent of the instructor. Description Matrix algebra, Multivariate normal distributions, discriminant analysis, canonical correlations, and Multivariate analysis of variance.",Spanish,GSU
STAT 8310,Bayesian Data Analysis,"Bayesian Data Analysis3 Credit Hours Prerequisites: Math 4752/MATH 6752  (Mathematical Statistics II) or equivalent, and R programming. Description This course will cover the topics in the theory and practice of Bayesian statistical inference, ranging from a review of fundamentals to questions of current research interest. Motivation for the Bayesian approach. Bayesian computation, Monte Carlo methods, asymptotics. Model checking and comparison. A selection of examples and issues in modeling and data analysis. Discussion of advantages and difficulties of the Bayesian approach. This course will be computationally intensive through analysis of data sets using the R statistical computing language.",Spanish,GSU
STAT 8440,Survival Analysis,"Survival Analysis3 Credit Hours Prerequisites: Math 4752/MATH 6752 . Description Topics included are survival function, hazard function, right censoring, nonparametric methods for comparing two survival distributions, parametric and nonparametric regression methods with survival data.",Spanish,GSU
STAT 8540,Advanced Methodologies in Biostatistics,"Advanced Methodologies in Biostatistics3 Credit Hours Prerequisites: MATH 6752 . Description Topics included are clinical trials, longitudinal data analysis, Bayesian method, and diagnosis.",Spanish,GSU
STAT 8550,Applied functional data analysis,"Applied functional data analysis3 Credit Hours Prerequisites: Math 4752 or MATH 6752 . Description Functional data arises in many scientific areas. With an increasing number of cases, the collected data are curves or functions. This course introduces basic concepts and methods of functional data analysis. Topics include: functional data representation, smoothing methods, exploration of functional data, registration of functional data, functional principal component analysis, canonical correlation and discriminant analysis, functional linear models.",Spanish,GSU
STAT 8561,Linear Statistical Analysis I,"Linear Statistical Analysis I3 Credit Hours Prerequisites: Math 4751/MATH 6751  and Math 4752/MATH 6752 . Description Topics included are statistical inference, Multivariate normal distribution, distribution of quadratic forms, linear models, regression models and experimental design models.",Spanish,GSU
STAT 8581,Statistical Theory I,"Statistical Theory I3 Credit Hours Prerequisites: Math 4662 or MATH 6662 . Description The course is primarily on the theory of statistical estimation. Topics included are method of moments, least squares, maximum likelihood, minimum variance unbiased estimation, the sufficiency and completeness of statistics, Fisher information and Cramer-Rao bounds, statistical decision theory, and Bayes decision rules.",Spanish,GSU
STAT 8582,Statistical Theory II,"Statistical Theory II3 Credit Hours Prerequisites: STAT 8581 . Description Classical and modern statistics, probability, decision theory, estimation theory, testing hypotheses, confidence intervals, large sample theory, and sequential analysis.",Spanish,GSU
STAT 8600,Probability Theory,"Probability Theory3 Credit Hours Prerequisites: Math 4752/MATH 6752 . Description Random variables and expectations, distribution and characteristic functions, laws of large numbers and central limit theorem, conditional probability, and expectation.",Spanish,GSU
STAT 8610,Time Series Analysis,"Time Series Analysis3 Credit Hours Prerequisites: Math 4752/MATH 6752 . Description Introduction to stationary stochastic processes, spectral representations; Box-Jenkins time series models; forecasting methods. Applications include use of a statistical computer package.",Spanish,GSU
STAT 8630,Experimental Designs,"Experimental Designs3 Credit Hours Prerequisites: Math 4752/MATH 6752 . Description Analysis of randomized and incomplete block designs; factorial and nested designs using fixed, random, and mixed effects models. Applications include use of a statistical computer package.",Spanish,GSU
STAT 8670,Computational Methods in Statistics,"Computational Methods in Statistics3 Credit Hours Prerequisites: Math 4752/MATH 6752 , and the ability to program in a high-level language. Description Topics included are optimization, numerical integration, bootstrapping, cross-validation and Jackknife, density estimation, smoothing, and use of the statistical computer package of S-plus/R.",Spanish,GSU
STAT 8674,Monte Carlo Methods,"Monte Carlo Methods3 Credit Hours Prerequisites: MATH 6752  with grade of C or higher. Description Topics included are the Monte Carlo method for integration, Metropolis-Hastings algorithms, the Gibbs sampler and other Markov chain-based methods, importance sampling, simulated tempering, perfect sampling, and other related subjects. Some applications will be illustrated by real examples. Applications include use of a statistical computer package.",Spanish,GSU
STAT 8678,SAS Programming and Data Analysis,"SAS Programming and Data Analysis3 Credit Hours Prerequisites: Math 4544, MATH 6544 , or equivalent. Description This course covers programming using the SAS statistical software package, and it provides an introduction to data analysis stressing the implementation using SAS. Topics include two main parts: 1) SAS programming: data management and manipulation, basic procedures, macro programming; 2) data analysis: descriptive statistical analysis, one- and two-sample inference, basic categorical data analysis, regression analysis, and other selected topics.",Spanish,GSU
STAT 8680,Applied Nonparametric Methods,"Applied Nonparametric Methods3 Credit Hours Prerequisites: Math 4752/MATH 6752 . Description Nonparametric testing and estimation procedures are introduced. Topics include rank methods for one sample and two sample problems, rank tests for one-way layouts, linear regression and independence problems, robust estimates, goodness-of-fit test, U-statistics, recent developments in nonparametric statistics.  Three lecture hours a week.",Spanish,GSU
STAT 8690,Topics in Statistics,Topics in Statistics3 Credit Hours  Description      May be repeated for credit if topics vary.,Spanish,GSU
STAT 8691,Graduate Research in Statistics,Graduate Research in Statistics1 to 15 Credit Hours  Description      May be repeated for credit.,Spanish,GSU
STAT 8692,Graduate Laboratory in Statistics,Graduate Laboratory in Statistics1 to 15 Credit Hours  Description      May be repeated for credit.,Spanish,GSU
STAT 8693,Statistical Internship,"Statistical Internship1 to 3 Credit Hours Prerequisites: Consent of instructor. Description This course involves supervised, off-campus experience in a field in which statistical science plays an important role.",Spanish,GSU
STAT 8694,Topics in Biostatistics,Topics in Biostatistics3 Credit Hours Prerequisites: Consent of instructor. Description This course involves opportunity to study new research topics. Students will develop advanced statistical skills in the frontier of biostatistics.,Spanish,GSU
STAT 8700,Categorical Data Analysis,"Categorical Data Analysis3 Credit Hours Prerequisites: Math 4752 or MATH 6752 . Description Analysis of Multinomial Data and Contingency tables, loglinear model for count data, model selection procedures; applications include use of statistical software packages, like SAS and S+.",Spanish,GSU
STAT 8760,Sample Surveys,"Sample Surveys3 Credit Hours Prerequisites: Math 4752/MATH 6752 . Description Sampling from finite populations; random, stratified, cluster, and systematic sampling; estimation of means and variances; and ratio and regression sampling.",Spanish,GSU
STAT 8800,Statistical Consulting I,"Statistical Consulting I1 Credit Hours Prerequisites: graduate students who have taken at least one-year courses in statistics. Description The objectives of Statistical Consulting Practicum are for students to develop skills needed by a successful statistical consultant, such as the effective collaboration skills with researchers in other disciplines, the communication skills, both written and verbal. In the orientation phase, a number of lectures will cover topics on consulting philosophy, effective problem identification, consulting session management and positive interaction with clients. In the practicum phase, students will be exposed to realistic statistical and scientific problems.",Spanish,GSU
STAT 8820,Research,Research3 Credit Hours Prerequisites: consent of instructor and chair of department. Description Directed research leading to a research paper in statistics or analysis of a statistical problem. This course is intended to satisfy the requirement for a research paper or a written report of a laboratory experience for the non-thesis option.,Spanish,GSU
STAT 8900,Colloquium,Colloquium1 Credit Hours  Description The course is to serve the need of graduate students who are ready to start research work. It provides students the opportunity to see a wide range of topics that are currently being studied by statisticians. It also helps students to learn the important elements of a successful professional talk and to develop skills of professional communication and presentation.,Spanish,GSU
STAT 8930,Data Science MS Project,"Data Science MS Project1 to 3 Credit Hours  Description Students work on independent master’s project that demonstrates concepts, techniques, skills, data analysis, and conclusions learned throughout the graduate program. Students are required to submit a final written report. Each project will need to encompass the following fundamental stages of a data mining project: 1) data collection/preparation, 2) machine or statistical learning, and 3) evaluation/assessment followed by the interpretation of discovered new knowledge.",Spanish,GSU
STAT 8950,Directed Research in Statistics,Directed Research in Statistics1 to 15 Credit Hours Prerequisites: consent of the instructor. Description,Spanish,GSU
STAT 8999,Thesis Research,Thesis Research1 to 18 Credit Hours Prerequisites: thesis option. Description,Spanish,GSU
STAT 9999,Dissertation Research,Dissertation Research1 to 18 Credit Hours Prerequisites: consent of instructor. Description Doctoral Dissertation Research.,Spanish,GSU
STEM 7080,Psychology of Teaching and Learning in STEM Environments,"Psychology of Teaching and Learning in STEM Environments3 Credit Hours  Description This course provides an overview of major behavioral, cognitive, and sociohistorical approaches to learning with considerations of learning for middle and high school STEM classrooms. Sources for individual differences in learning are discussed along with the need for considering cultural influences on students’ learning. Social justice perspectives are infused throughout considerations of various theoretical perspectives on learning.",Statistics,GSU
STEM 7120,Sociocultural and Historical Foundations of STEM Education,"Sociocultural and Historical Foundations of STEM Education3 Credit Hours  Description In this reading-intensive seminar, students explore cultural, economic, political, and social discourses and structures as they relate to STEM (science, technology, engineering, and mathematics) disciplines, research in STEM education, and teaching and learning in STEM. The course includes an examination of how pedagogy and research in STEM disciplines and STEM education are framed and enacted within different pedagogical and theoretical frameworks.",Statistics,GSU
STEM 7910,Action Research and Community-Engaged Scholarship in STEM Education,Action Research and Community-Engaged Scholarship in STEM Education3 Credit Hours  Description This course is an introduction to the theory and practice of participatory action research as a method of doing Community-Engaged Scholarship in STEM Education.,Statistics,GSU
STEM 8410,Toward Antiracist and Justice-Oriented Transdisciplinary STEM Education,"Toward Antiracist and Justice-Oriented Transdisciplinary STEM Education3 Credit Hours  Description This transdisciplinary course prepares certified teachers to integrate standards-aligned and antiracist science, technology, engineering, and mathematics (STEM) in their curriculum. We seek to interrogate and dismantle oppressive STEM curricula, and adopt critical frameworks that promote more liberatory instructional approaches. Evidence-based models and practices that transcend core STEM disciplines will move teachers toward justice and equity for racially, culturally, and linguistically diverse student populations and communities.",Statistics,GSU
STEM 8420,Equity and Identity in STEM Education Capstone Project,"Equity and Identity in STEM Education Capstone Project3 Credit Hours  Description This course is a capstone experience designed to bring together learning outcomes from the other required courses in the STEM  program. Assimilating projects and products from the other STEM program courses, students will generate a digital capstone project that centers equity and identity in STEM Education. This course supports teachers to develop science, mathematical, and digital literacies and equip them with tools to teach their students.",Statistics,GSU
STEM 8430,"Integration of Science, Mathematics, and Computational Thinking","Integration of Science, Mathematics, and Computational Thinking3 Credit Hours  Description The course includes an examination of the integrated natures of STEM disciplines as pertains to K12 education; research on the teaching and learning of STEM disciplines, and integrated pedagogical strategies. This course examines cultural, economic, political, and social structures and discourses as they relate to STEM disciplines, practices, and computational thinking.",Statistics,GSU
TX 8020,Advanced Federal Taxation,"Advanced Federal Taxation3 Credit Hours Prerequisites: ACCT 4510 or ACCT 8040 , with a minimum grade of C-. Description This course provides an in-depth study of the fundamentals of federal taxation of corporations and partnerships. This course prepares students for the comprehensive corporation and partnership courses. Students may not receive credit for both TX 8020 and ACCT 8120 .",Taxation,GSU
TX 8030,Tax Research,"Tax Research3 Credit Hours Prerequisites: ACCT 4510, with minimum grade of C-. Description This course is a study of tax law sources, tax research methodology, and research documentation.",Taxation,GSU
TX 8040,Tax Practice and Procedures,Tax Practice and Procedures3 Credit Hours Prerequisites: TX 8020  and TX 8030 . Description This course is an in-depth study of techniques and procedures used by various tax administrators.,Taxation,GSU
TX 8080,Taxation of Partnerships and Partners,"Taxation of Partnerships and Partners3 Credit Hours Prerequisites: TX 8020  and TX 8030 . Description This course is a study of the income tax consequences of transactions relating to the partnership life cycle including pre-formation, formation, operation and termination.",Taxation,GSU
TX 8100,Taxation of Property and Securities Transactions,"Taxation of Property and Securities Transactions3 Credit Hours Prerequisites: TX 8020  and TX 8030 . Description This course is a study of the income tax consequences of transactions relating to purchase, sale or exchange of property and securities.",Taxation,GSU
TX 8120,Taxation of Corporations and Shareholders,"Taxation of Corporations and Shareholders3 Credit Hours Prerequisites: TX 8020  and TX 8030 . Description This course is a study of the income tax consequences of transactions relating to the corporate life cycle of Subchapter C and Subchapter S including pre-formation, formation, operation and termination.",Taxation,GSU
TX 8140,Tax Aspects of Corporate Reorganizations and Liquidations,"Tax Aspects of Corporate Reorganizations and Liquidations3 Credit Hours Prerequisites: TX 8020 , TX 8030 , and TX 8120 . Description This course is an advanced study of income tax laws relating to corporate acquisitions, reorganizations, divisions, tax attributes, and consolidated returns.",Taxation,GSU
TX 8180,Current Topics in Taxation,Current Topics in Taxation3 Credit Hours Prerequisites: TX 8020  and TX 8030 . Description This course is a study of the contemporary issues in taxation. Subject matter for study is selected based upon current and proposed legislation in the area of taxation.,Taxation,GSU
TX 8220,Estate/Gift Taxation and Estate Planning,Estate/Gift Taxation and Estate Planning3 Credit Hours Prerequisites: TX 8020  and TX 8030 . Description This course is a study of federal estate and gift tax laws involved in intervivos and testamentary transfers of property.,Taxation,GSU
TX 8270,State and Local Taxation,State and Local Taxation3 Credit Hours Prerequisites: TX 8020  and TX 8030 . Description This course examines current issues in state and local taxation as well as the interaction between the Internal Revenue Code and various state and local tax provisions.,Taxation,GSU
TX 8300,International Aspects of Taxation,International Aspects of Taxation3 Credit Hours Prerequisites: TX 8020  and TX 8030 . Description This course is a study of income tax consequences of foreign income to U.S. taxpayers and of U.S. income for foreign businesses and individuals.,Taxation,GSU
TX 8320,Accounting for Income Taxes,Accounting for Income Taxes3 Credit Hours Prerequisites: TX 8020  and TX 8030 . Description This course is a study of the fundamental principles of Accounting for Income Tax (ASC 740). It emphasizes the income tax provision and financial statement analysis for tax planning.,Taxation,GSU
TX 8389,Directed Readings in Taxation,"Directed Readings in Taxation1 to 3 Credit Hours Prerequisites: TX 8020  and TX 8030  and consent of instructor, good academic standing. Description This course allows the supervised study of a specialized area not provided in the regular curriculum or provides a supervised study of a topical area of varied length, i.e., one to three semester hours. An arrangement must be made with a full-time faculty member to sponsor a student’s research.",Taxation,GSU
TX 8390,Advanced Case Studies in Taxation,"Advanced Case Studies in Taxation3 Credit Hours Prerequisites: 3.0 or higher GPA and B grade or higher in ACCT 4510; or consent of instructor. Description In this course students will use advanced real world cases to identify tax accounting and tax planning issues in unique fact patterns, select and apply appropriate tax laws to unique fact patterns and make decisions requiring knowledge of the tax law and its effect.",Taxation,GSU
TX 8391,Field Study in Taxation,"Field Study in Taxation3 Credit Hours Prerequisites: TX 8020  and TX 8030  both with minimum grade of B; consent of instructor. Description This field study is a supervised, employer-site learning experience. In this experience, students have the opportunity to apply tax-related skills in a professional setting. Students must consult with the instructor or the MTx program coordinator before registering to determine whether the internship experiences will qualify for credit. Current/existing employment responsibilities do not qualify for field study credit. Field studies from other programs do not qualify for TX 8391.",Taxation,GSU
TX 8510,Issues in Individual Taxation,"Issues in Individual Taxation3 Credit Hours Prerequisites: TX 8020  and TX 8030 . Description This course focuses on identification of individual tax issues, analysis of court opinions, and provides students with a conceptual framework for decision-making.",Taxation,GSU
TX 8670,Tax Crimes and Forensics,"Tax Crimes and Forensics3 Credit Hours Prerequisites: TX 8020  and TX 8030 . Description This course is a study of tax crimes under Title 26 and related crimes under Titles 18 and 31 of the United States Code. Topics include tax evasion and fraud, money laundering, currency transaction crimes, and related civil procedures.",Taxation,GSU
TX 8800,Tax Analytics,"Tax Analytics3 Credit Hours Prerequisites: TX 8020 , TX 8030 , and TX 8120 . Description This course should be taken in the last semester of the program. It introduces students to tax analytics using a variety of data analytics and visualization tools.",Taxation,GSU
TSLE 7250,Applied Linguistics for the Bilingual/English as a Second Language Teacher,"Applied Linguistics for the Bilingual/English as a Second Language Teacher3 Credit Hours  Description Students receive an overview of the principles of language structure, the processes of first and second acquisition, and the issues involved in assessing language proficiency with special attention paid to the application of linguistic knowledge to the multilingual and multicultural school setting.",Teaching ESL/College ED,GSU
TSLE 7260,Cultural Issues for the Bilingual/English as a Second Language Teacher,Cultural Issues for the Bilingual/English as a Second Language Teacher3 Credit Hours  Description Students examine the concept of culture and study cultural influences and the uses of culture in the education of children. Special attention is paid to the application of linguistic and cultural knowledge to the multilingual and multicultural school setting.,Teaching ESL/College ED,GSU
TSLE 7440,Methods and Materials for the Bilingual/English as a Second Language Teacher,Methods and Materials for the Bilingual/English as a Second Language Teacher3 Credit Hours  Description This course familiarizes students with current second language classroom research and with effective methods and materials with an emphasis on adapting these methods and materials to a specific classroom setting.,Teaching ESL/College ED,GSU
TEXT 6050,Textiles,"Textiles3 Credit Hours  Description For graduate students not majoring in Textiles. Textile techniques either in loom, non-loom, or surface design explored from design principles and technical application.     May be repeated for a maximum of fifteen credit hours.",Textiles,GSU
TEXT 6910,Historic Textiles,"Historic Textiles3 Credit Hours  Description Historical survey of textiles, textile technology, and design on both woven and dyed/printed/painted textiles worldwide. Interrelationship of textile technology and design in a historical and cultural context.",Textiles,GSU
TEXT 6980,Directed Study,Directed Study3 to 6 Credit Hours Prerequisites: Consent of the instructor. For students not majoring in Textiles.   Description Individual research.     May be repeated for a maximum of twelve hours.,Textiles,GSU
TEXT 8000,Advanced Studio Problems,Advanced Studio Problems3 Credit Hours  Description For M.F.A. Textiles major. Conceptual development in textile design explored from design principles and technical applications.     May be repeated for a maximum of six credit hours.,Textiles,GSU
TEXT 8400,Interdisciplinary Graduate Seminar,"Interdisciplinary Graduate Seminar3 to 9 Credit Hours Prerequisites: M.F.A. status. Description For M.F.A. students from all Art and Design majors. Readings, discussions, and engagement with advanced studio topics, led by studio faculty, to improve studio practice.",Textiles,GSU
TEXT 8500,Studio Practice,Studio Practice3 to 9 Credit Hours Prerequisites: Consent of instructor. For MFA Textiles students.   Description Discipline specific graduate course driven by studio production and critiques.     May be repeated for a maximum of twenty-four credit hours.,Textiles,GSU
TEXT 8930,Internship in Textiles,Internship in Textiles3 Credit Hours Prerequisites: Consent of the instructor. Description Supervised field research experiences in appropriate professional environments.     May be repeated for a maximum of six credit hours.,Textiles,GSU
TEXT 8980,Special Problems,Special Problems3 Credit Hours Prerequisites: Consent of the instructor and School director. Description Independent study. Contract outlining course content is required.     May be repeated for a maximum of six credit hours.,Textiles,GSU
TEXT 8999,Thesis Research,Thesis Research3 to 12 Credit Hours Prerequisites: Consent of thesis advisor. Description Research and preparation of thesis and graduate exhibition.,Textiles,GSU
URB 8010,Urban Theory and Praxis,"Urban Theory and Praxis3 Credit Hours  Description The purpose of this course is to understand the conceptual dilemmas presented when analyzing ‘the urban’, and to explore insights (and blind spots) offered by a variety of contemporary urban theoretical perspectives. Students will gain a strong grounding debates over how we understand and research the city, and will develop the critical thinking skills necessary to creatively assess and interpret uneven geographic development, processes of urbanization, and the experience of global urbanism as a way of life.",Urban Studies Institute,GSU
URB 8020,Global Urban Trajectories,"Global Urban Trajectories3 Credit Hours  Description This course compares and debates the main trajectories or pathways of cities, from past to present and future, and from a global perspective. In understanding the evolution of cities, historical and comparative global perspectives must be considered. The course will move between empirical observation and theory.",Urban Studies Institute,GSU
URB 8040,Urban Policy Analytics,"Urban Policy Analytics3 Credit Hours Prerequisites: PMAP 8121  or SOCI 8010  and PMAP 8561  or GEOS 6532  or consent of instructor. Description This is a hands-on course that provides future urban planners and policy analysts with a toolkit to collect, analyze, interpret, and visualize urban data. We will use multiple software packages and platforms including R, ArcGIS, CartoDB, Octoparse, and Tableau. Students will acquire data analytical skills through a series of mini projects on problems relevant to urban planning practice, research, and policymaking. The course will also introduce students to various applications of data science and smart technologies in urban management and governance, as well as the associated social, economic, and ethical implications.",Urban Studies Institute,GSU
URB 8060,Urban Environments,"Urban Environments3 Credit Hours  Description Examines the physical environmental processes relating to soil, climate, water, and ecosystems that characterize urban environments as opposed to more natural or rural ones. Explores the human-environmental interface in urban areas as reflected in issues such as environmental justice, sustainability, resilience, population growth, unequal distribution of resources, and public health. Sustainability will be particularly emphasized. The City of Atlanta is used as a living laboratory for the course.",Urban Studies Institute,GSU
URB 8097,Urban Special Topics,Urban Special Topics3 Credit Hours  Description A seminar designed to explore in depth the most recent issues and/or research results in a particular area of urban studies.     The course can be repeated when topic vary.,Urban Studies Institute,GSU
URB 8110,Capstone Paper Research,"Capstone Paper Research3 Credit Hours  Description Capstone Paper is for students to undertake original research in a particular substantive area of Urban Studies. Students will demonstrate their capacity for critical thinking and apply the data collection and analytical skills developed through the MIS program to evaluate existing, and generate new knowledge regarding a key challenge facing cities.",Urban Studies Institute,GSU
URB 8120,Capstone Research Paper Advanced,"Capstone Research Paper Advanced3 Credit Hours  Description Capstone Paper is for students to undertake original research in a particular substantive area of Urban Studies. Students will demonstrate their capacity for critical thinking and apply the data collection and analytical skills developed through the MIS program to evaluate existing, and generate new knowledge regarding a key challenge facing cities.",Urban Studies Institute,GSU
URB 8130,MIS Urban Studies Internship,"MIS Urban Studies Internship3 Credit Hours  Description The purpose of the MIS Internship is to expose students to a professional workplace where urban issues are being addressed and to provide the student with some experience in addressing such issues in a professional environment, which might be in the public, nonprofit, or private sector.",Urban Studies Institute,GSU
URB 8140,Directed Studies,"Directed Studies1 to 3 Credit Hours  Description This course allows the supervised study of a specialized area not provided in the regular curriculum or provides a supervised study of a topical area of varied length, i.e. An arrangement must be made with a full-time faculty member to sponsor a student’s research or study.  one to three semester credit hours.",Urban Studies Institute,GSU
URB 8660,Urban Environments,"Urban Environments3 Credit Hours  Description Examines the physical environmental processes relating to soil, climate, water, and ecosystems that characterize urban environments as opposed to more natural or rural ones. Explores the human-environmental interface in urban areas as reflected in issues such as environmental justice, sustainability, resilience, population growth, unequal distribution of resources, and public health. Sustainability will be particularly emphasized. The City of Atlanta is used as a living laboratory for the course.",Urban Studies Institute,GSU
URB 8661,Housing Markets and Housing Policy,"Housing Markets and Housing Policy3 Credit Hours  Description In-depth examination of housing market dynamics and processes, including racial and economic segregation, gentrification, affordability, housing finance, and other phenomena. Study of alternative local, state, and federal policies, both historical and contemporary, aimed at reducing housing problems and providing for fair and affordable housing and sustainable community development.",Urban Studies Institute,GSU
URB 8670,The Interdisciplinary City,"The Interdisciplinary City3 Credit Hours  Description Drawing from the expertise of the Urban Studies Institute and Georgia State faculty, students will be trained as â€˜boundary agents’. Each week, students will examine a particular urban lens, or compare and contrast across multiple disciplinary perspectives, through a combination of assigned readings, discussions with external speakers, and field-based research. They will assess and apply multiple disciplinary perspectives, including their own background and training, to a key theme throughout the course. Examples include: equitable urban development; sustainable suburbanization; sharing the city at night; fostering regional mobility; towards the carbon-neutral city; and creating resilient communities.",Urban Studies Institute,GSU
URB 8999,Graduate Research in Urban Studies,Graduate Research in Urban Studies3 to 18 Credit Hours  Description This course is designed for graduate research and teaching assistant seeking to conduct supervised research on topics related to project duties or instructional technologies.     May be repeated for credit; does not count towards degree requirements.,Urban Studies Institute,GSU
URB 9010,Advanced Seminar in Urban Theory,"Advanced Seminar in Urban Theory3 Credit Hours Prerequisites: Must be a PhD student. Description Addressing the urban question - or, what is analytically distinct about urban social processes - lies at the core of urban studies. In this advanced doctoral seminar, students will examine the foundations and frontiers of urban theory and research.",Urban Studies Institute,GSU
URB 9011,Urban Environmental Sustainability,"Urban Environmental Sustainability3 Credit Hours Prerequisites: Enrolled PhD student. Description Masters students require instructor approval. This course is designed to increase the understanding of systems dynamics, cascading effects, and scale, and to develop expertise in transdisciplinary research to address urban environmental sustainability challenges using a systems approach.",Urban Studies Institute,GSU
URB 9012,Urban Economic Resilience,"Urban Economic Resilience3 Credit Hours  Description This course will focus on the economic capacity (e.g., productivity, employment, investment) of cities and their ability to absorb shocks and disturbances while retaining functionality; mitigation policies, and adaptation strategies to cope with changing economic fortunes.",Urban Studies Institute,GSU
URB 9020,Advanced Urban Analysis,"Advanced Urban Analysis3 Credit Hours Prerequisites: PhD Student. Description This course will introduce students to the key concepts, considerations, and debates of research design in urban studies. This would likely include theories of knowledge, ethical issues, exploration of quantitative, qualitative and mixed methods, and practical guidelines for developing a successful and feasible dissertation research project.",Urban Studies Institute,GSU
URB 9300,Comprehensive Exam Development,"Comprehensive Exam Development6 Credit Hours  Description The coverage of the written comprehensive exam will be described in a Field Description, developed by the student in conjunction with the Committee under direction of the Committee Chair. This course will develop the Field Description expected to include a description of both theoretical and empirical work and including a detailed bibliography for each section.",Urban Studies Institute,GSU
URB 9400,Dissertation Proposal and Research Design,Dissertation Proposal and Research Design3 Credit Hours  Description This course will enable students to develop their dissertation proposal and methods. Upon completion students will have to defend this proposal successfully in order to continue to dissertation research.,Urban Studies Institute,GSU
URB 9500,Dissertation Research,"Dissertation Research3 to 18 Credit Hours  Description This course provides space for students to work on their dissertation research in preparation for oral defense. The dissertation allows the Ph.D. candidate to demonstrate his or her ability to conduct a research program leading to a significant contribution to the candidate’s discipline. At least 15 hours of research must be completed, though a student may also register for more should the circumstance call for it.",Urban Studies Institute,GSU
WGSS 4110,Black Women and Health,"Black Women and Health3 Credit Hours  Description(Same as AAS 4110.) Black Women and Health examines the intersections of race, gender, and health with a critical focus on the health experiences of women in the United States with some discussion of Africa, the Caribbean, and the diaspora. Global Scholars course.","Women’s, Gender & Sexuality Studies",GSU
WGSS 6010,Feminist Praxis,"Feminist Praxis3 Credit Hours  Description This course questions how structures and cultures influence our praxis in formal organizations as well as can our daily choices be feminist praxis. Using feminist concepts this course challenges us to explore ways that feminist understandings shape and ground organizing, praxis and everyday life. Students will be introduced to works targeting the six main aspects of a feminist’s life: relationships, family, work, friends, spirituality and intellect, and personal well being.","Women’s, Gender & Sexuality Studies",GSU
WGSS 6040,Gender/Race/Class in Complex Societies,"Gender/Race/Class in Complex Societies3 Credit Hours  Description(Same as ANTH 6060 ) Experiential learning in the urban setting through direct exposure to and experience in an ethnic community. Informed awareness of the knowledge, attitudes, and practices of ethnic communities within the community and larger society.","Women’s, Gender & Sexuality Studies",GSU
WGSS 6052,Africana Women and Socio Political Change,Africana Women and Socio Political Change3 Credit Hours  DescriptionCrosslisted as AAS 6052 . An examination of gender and power relationships in the Africana World.,"Women’s, Gender & Sexuality Studies",GSU
