Unnamed: 0,CourseNumber,CourseTitle,CourseDescription,CourseDepartment,University
2214,OPTI 6211 , Introduction to Modern Optics ,"Fourier analysis and holography, Coherence. Introduction to light production and detection. Optical modulation, including EO effect, Kerr effect, amplitude modulation, magnetooptic effect, photoelastic effect, and acousto-optic effect. Introduction to nonlinear optics. Photonic switching.",Nursing,UNCC
2215,OPTI 6212 , Integrated Photonics ,"Theory and application of optical waveguides, free-space micro-optics, and integrated photonic devices. Fabrication and integration techniques, including motivations for choice of approach (hybrid vs. monolithic, materials, size, performance, etc). Modeling and simulation. Students will be required to work with mathematical packages such as Matlab and/or Mathematica to illustrate key concepts and to implement beam propagation/optical modeling simulations.",Nursing,UNCC
2216,OPTI 6221 , Optical Communications ,"Introduction to optical communications and basic communication block such as lasers, optical modulators, and optical transceivers. Review of fibers (attenuation, dispersions, etc.). Optical amplifiers. Passive and active photonic components such as tunable lasers and filters. Coherent and incoherent detection. Signal processing, photonic switching, and point-to-point links / connections.",Nursing,UNCC
2217,OPTI 6222 , Optical Communication Networks ,"Optical signal coding, multiplexing and de-multiplexing. Timedomain medium access (TDM (SONET) and TDMA), wavelength-division multiplexing (WDM and WDMA). Optical networks, add-drop multiplexing (OADM), switching and routing technologies, Dispersion management. Optical clock and timing recovery. Optical amplification, wavelength conversion, transport, and networking protocols. Broadband ISDN concepts. Access, metro, and longhaul network topologies.",Nursing,UNCC
2218,OPTI 6241 , Optical System Function and Design ,"Advanced study of telescopes, microscopes, cameras, off-axis imaging systems, stops, apertures, multiple lenses, use and selection of ray trace computer codes.",Nursing,UNCC
2219,OPTI 6242 , Optical Propagation in Inhomogeneous Media ,"Advanced study of free space propagation, scattering, and scintillation of Gaussian and uniform beam waves. Random processes, weak fluctuation theory, propagation through complex paraxial optical systems.",Nursing,UNCC
2220,OPTI 6244 , High Speed Photonics and Optical Instrumentation ,"Study of instrumentation used for generation, detection, and manipulation of light in optical circuits. Topics include: ultrashort pulse generation, photon-phonon interactions, 2nd & 3rd harmonic generation, squeezed light, optical tweezers, OPO, electro-optic modulators, selective polarizers, optical switches, amplifiers, multiplexing and mixing schemes, and application of CCD and CMOS cameras and detectors.",Nursing,UNCC
2221,OPTI 6261 , Modern Coherence Theory ,"Stochastic processes. Second order coherence of scalar and vector wavefields, radiation and states of coherence. Quantum wavefields.",Nursing,UNCC
2222,OPTI 6271 , Advanced Physical Optics ,"Advanced study of electromagnetic wave propagation, stratified media, physics of geometrical optics, polarization and crystal optics, absorption and dispersion, interference, propagation and diffraction.",Nursing,UNCC
2223,OPTI 6281 , Modern Optics Laboratory ,"Selected experiments in areas of modern optics such as fiber optics, interferometry, spectroscopy, polarization, optical metrology, and holography. Six laboratory hours per week.",Nursing,UNCC
2224,OPTI 6301 , Introduction to Instrumentation and Processing at the Nanoscale ,"Methods of manipulating, engineering, and characterizing nanoscale materials are introduced; applications and principles of their operation are discussed.  Students acquire hands-on experience with selected laboratory methods in preparation for dissertation research.  Topics include, but are not limited to, scanning probe and electron microscopy methods, cleanroom technology, nanoscale optical and e-beam lithography, nuclear magnetic resonance, mass spectrometry, luminescence methods, interferometry, gel permeation chromatography, surface area analysis, and small-angle x-ray and neutron scattering.Cross-listed as: OPTI 8301  and NANO 8101 .  ",Nursing,UNCC
2225,OPTI 6302 , Nanoscale Phenomena ,"Nano-optics (near-field optics, limits of lithography masks, nano-dots and nanoscale optical interactions).  Nanoscale mechanics.  Nanotribology. Biological and biologically-inspired machines.Cross-listed as: CHEM 6102 , NANO 8102 , and OPTI 8302 .  ",Nursing,UNCC
2226,OPTI 6303 , Collaborative Research Proposal ,"Effective strategies for designing and writing research proposals are presented by program faculty members, and staff from proposal development offices on campus.  Students work in teams of 2-3 to prepare an original, interdisciplinary research proposal on a topic in nanoscale science.  The proposal conforms to regulations of a selected funding agency and must address a topic that is supported by that agency.  Each team consults regularly with a panel of 2-3 faculty members who collectively approve the proposal topic, provide feedback during the development of the proposal, and ultimately evaluate the proposal.  The course is designed to increase the ability of students to relate research ideas to fundamental concepts in science and engineering, to help students learn to develop effective methods of presenting ideas and defending them, to help students develop self confidence in their abilities to present and defend ideas, and to improve oral and written communication skills. Cross-listed as: OPTI 8303 and NANO 8203 .  ",Nursing,UNCC
2227,OPTI 6341 , Applied Quantum Mechanics ,"Principles of non-relativistic wave mechanics.  The Schrodinger equation, linear harmonic oscillator and WKB approximation.  Central forces and angular momentum.  The hydrogen atom.  Applications of quantum mechanics in materials and optics.Cross-listed as: OPTI 8341  and PHYS 6141 .  ",Nursing,UNCC
2228,OPTI 6371 , Solid State Materials ,"Crystal structure. Electromagnetic, electron, mechanical, and elastic wave interactions with crystals.  Theory of X-ray diffraction.  Energy band theory of metals and semiconductors.  Optical properties of solids, phase transitions, and amorphous solids.  Quantum mechanics of covalent bonding, phonon excitation, and thermal energy.Cross-listed as: OPTI 8371  and PHYS 6271 .  ",Nursing,UNCC
2229,OPTI 6381 , Engineering Metrology ,"Introduction to metrology and standards.  Uncertainty, precision and accuracy in metrology.  Measurement of size and form, computational methods in measurement of form.  Measurement of surface texture and out of roundness.  Machine tool and robot accuracy and calibration.  Evaluation of screw threads and gears.  Introduction to design of precision instruments.",Nursing,UNCC
2230,OPTI 6384 , Advanced Surface Metrology ,"Constituents of surface texture, stylus, optical, atomic force microscope and other advanced methods of measuring surface texture.  Two and three dimensional measurement of surfaces. Separation of form, waviness and roughness.  Random process analysis techniques, use of transforms for filtering.  Numerical evaluation of surface texture.  Use of surface texture as fingerprint of the process.  Relationship between function and surface texture.",Nursing,UNCC
2231,OPTI 6400 , Industrial Internship ,Full- or part-time academic year internship in optical science/optical engineering complementary to the major course of studies and designed to allow theoretical and course-based practical learning to be applied in a supervised industrial experience.  Requires a mid-term report and final report to be graded by the supervising faculty.,Nursing,UNCC
2232,OPTI 6610 , Seminar ,"Utilizing library resources, materials, and research tools.  Using presentation software and developing presentation skills for effective technical presentations.  Patents and technology transfer.  Ethical issues in science and engineering.  Current topics in optics.Cross-listed as: OPTI 8610 .  ",Nursing,UNCC
2233,OPTI 6611 , Graduate Colloquium ,Students present seminars on current topics in optical science and engineering. Cross-listed as: OPTI 8611 . ,Nursing,UNCC
2234,OPTI 6800 , Independent Study ,"Independent study pursued by the student, or a group of students, under the direction of a professor.  ",Nursing,UNCC
2235,OPTI 6991 , Thesis Research ,Research for the thesis. ,Nursing,UNCC
2236,OPTI 8000 , Selected Topics in Optics ,"Selected topics in optics from areas such as medical optics, adaptive optics, all optical networks, etc.",Nursing,UNCC
2237,OPTI 8101 , Mathematical Methods of Optical Science and Engineering ,"A comprehensive look at those mathematical techniques important to the understanding of optical phenomena.  Includes vector algebra and calculus, matrix theory, Fourier series and transforms, complex analysis, solution of boundary value problems in partial differential equations, and special functions.  Topical coverage emphasizes applications specific to the field of optics.  Cross-listed as: OPTI 6101 .  ",Nursing,UNCC
2238,OPTI 8102 , Principles of Geometrical Optics ,"Law of reflection and refraction, reflection and refraction at plane surfaces, paraxial imagery, mirrors, thick lenses, thin lenses, lens systems, stops, principle planes, the optical variant, vignetting, paraxial radiometry, analysis of common optical systems, real ray tracing, and introduction to aberrations and image resolution in the context of the modulation transfer function.",Nursing,UNCC
2239,OPTI 8102L , Geometrical Optics Lab ,"Selected experiments in areas of geometrical optics such as index of refraction measurement, dispersing and reflecting prisms, spherical mirrors and thin lenses, imaging, optical instruments, aberration, fiber optics, and fringe projection profilometry.Cross-listed as: OPTI 6102L .  ",Nursing,UNCC
2240,OPTI 8103 , Light Sources and Detectors ,"Photon statistics and thermal light. Interactions of photons with atoms.  Population inversion, lasing threshold, and resonator modes. Mode-locked and Q-switched lasers.  Semiconductor photon sources including light-emitting diodes (LEDs) and laser diodes.  Quantum-confined structures, materials, and devices.  Thermal sources. Light extraction.  Light detectors including photoconductive, photovoltaic and avalanche photodiodes.  Noise in light sources and detectors.",Nursing,UNCC
2241,OPTI 8104 , Electromagnetic Waves ,"Optical phenomena that are explicitly associated with the electromagnetic nature of light.  Includes an introduction to Maxwell’s equations, and electromagnetic waves.  Polarization and the Jones calculus.  Energy and momentum conservation, boundary conditions and Fresnel equations.  Waves in anisotropic (birefringent) and complex media.  Modulation and deflection of optical beams (principles of acousto-optics and electro-optic devices).  Propagation at interfaces, waveguides, and plasmons.  Electromagnetic potentials and multipole radiation, scattering of light, and interaction with metallic nanoparticles.Cross-listed as: OPTI 6104 .  ",Nursing,UNCC
2242,OPTI 8105 , Optical Properties of Materials ,"Electromagnetic wave propagation in dielectrics, semiconductors and metals.  Dipole oscillator model, complex dielectric constants, and Kramers-Kronig relationship.  Crystal structures and optical anisotropy.  Reciprocal space and density of states.  Electronic band structure.  Quantum theory of radiative absorption and emission, selection rules.  Direct and indirect interband absorption.  Free-carrier absorption in metals and doped semiconductors.  Free excitons and Frenkel excitons.  Photo- and electroluminescence in semiconductors.  Optical absorption and emission in quantum wells and quantum dots, and quantum Stark effect.  Second and third-order optical nonlinearities.Cross-listed as: OPTI 6105 .  ",Nursing,UNCC
2243,OPTI 8106 , Principles of Physical Optics ,"The Fourier transform and its role in wave optics. Wave properties of light, superposition of waves, angular spectrum of plane waves, relation to ray optics, Gaussian beams,  periodic structures and surfaces, Fresnel diffraction, spatial filtering diffraction, interference and interferometers (two, multibeam, Fabry-Perot), polarization, temporal and spatial coherence, holography, imaging and resolution. Cross-listed as: OPTI 6106 .  ",Nursing,UNCC
2244,OPTI 8106L , Physical Optics Lab ,"Selected experiments in areas of physical optics such as interference in thin films, Fabry-Perot, Michelson & Twyman-Green interferometers, polarization and diffraction of light.  By the end of this course, students are asked to design and implement a mini project that includes geometrical and physical optics concepts.Cross-listed as: OPTI 6106L .  ",Nursing,UNCC
2245,OPTI 8201 , Fourier Optics and Holography ,"Principles of scalar, Fresnel, and Fraunhofer diffraction theory. Coherent optical data processing. Optical filtering and data processing. Holography.",Nursing,UNCC
2246,OPTI 8202 , Fundamentals of Biomedical Optics ,"Basic principles underlying tissue optics, laser-tissue interactions, and optical imaging, microscopy, and spectroscopy for medical applications.Cross-listed as: OPTI 6202  and PHYS 6202 .  ",Nursing,UNCC
2247,OPTI 8203 , Metamaterials ,"Metamaterials describes a new field of engineered materials having subwavelength structures, and which have electromagnetic properties not found in nature.  Examples include zero and negative index materials which lead to some new applications.  Metamaterials are made from “meta-atoms” which are much smaller than the wavelength of the radiation.  Meta-atoms are LCR circuits having strong resonant behavior over some chosen bandwidth.  The distribution of many such atoms and their mutual interaction determine the bulk metamaterial’s properties.  Describing these properties draws from electromagnetics, antenna design, atomic and molecular physics and condensed matter physics.  At increasingly small scales (i.e., at the nanoscale), both quantum and plasmonic phenomena can play a role.Cross-listed as: OPTI 6203 .  ",Nursing,UNCC
2248,OPTI 8205 , Advanced Optical Materials ,"Molecular optical materials including fabrication methods. Luminescence centers; quenching. Nonlinear optics, including higher order terms of the susceptibility tensor. Photonic crystals.",Nursing,UNCC
2249,OPTI 8206 , Physical Optics Design and Simulation ,"Design and simulation of optical components and systems using scalar and vector wave propagation, diffraction, and interference.  The course is intended to complement OPTI 8241 , which focuses on optical lens and system design using geometrical ray-tracing.Cross-listed as: OPTI 6206 .  ",Nursing,UNCC
2250,OPTI 8211 , Introduction to Modern Optics ,"Fourier analysis and holography, Coherence. Introduction to light production and detection. Optical modulation, including EO effect, Kerr effect, amplitude modulation, magnetooptic effect, photoelastic effect, and acousto-optic effect. Introduction to nonlinear optics. Photonic switching.",Nursing,UNCC
2251,OPTI 8212 , Integrated Photonics ,"Theory and application of optical waveguides, free-space micro-optics, and integrated photonic devices. Fabrication and integration techniques, including motivations for choice of approach (hybrid vs. monolithic, materials, size, performance, etc). Modeling and simulation. Students will be required to work with mathematical packages such as Matlab and/or Mathematica to illustrate key concepts and to implement beam propagation/optical modeling simulations.",Nursing,UNCC
2252,OPTI 8221 , Optical Communications ,"Introduction to optical communications and basic communication block such as lasers, optical modulators, and optical transceivers. Review of fibers (attenuation, dispersions, etc.). Optical amplifiers. Passive and active photonic components such as tunable lasers and filters. Coherent and incoherent detection. Signal processing, photonic switching, and point-to-point links / connections.",Nursing,UNCC
2253,OPTI 8222 , Optical Communication Networks ,"Optical signal coding, multiplexing and demultiplexing. Time-domain medium access (TDM (SONET) and TDMA), wavelength-division multiplexing (WDM and WDMA). Optical networks, add-drop multiplexing (OADM), switching and routing technologies, Dispersion management. Optical clock and timing recovery. Optical amplification, wavelength conversion, transport, and networking protocols. Broadband ISDN concepts. Access, metro, and long-haul network topologies.",Nursing,UNCC
2254,OPTI 8241 , Optical System Function and Design ,"Advanced study of telescopes, microscopes, cameras, off-axis imaging systems, stops, apertures, multiple lenses, use and selection of ray trace computer codes.",Nursing,UNCC
2255,OPTI 8242 , Optical Propagation in Inhomogeneous Media ,"Advanced study of free space propagation, scattering, and scintillation of Gaussian and uniform beam waves. Random processes, weak fluctuation theory, propagation through complex paraxial optical systems.",Nursing,UNCC
2256,OPTI 8244 , High Speed Photonics and Optical Instrumentation ,"Study of instrumentation used for generation, detection, and manipulation of light in optical circuits. Topics include: ultrashort pulse generation, photon-phonon interactions, 2nd & 3rd harmonic generation, squeezed light, optical tweezers, OPO, electro-optic modulators, selective polarizers, optical switches, amplifiers, multiplexing and mixing schemes, and application of CCD and CMOS cameras and detectors.",Nursing,UNCC
2257,OPTI 8261 , Modern Coherence Theory ,"Stochastic processes. Second order coherence of scalar and vector wavefields, radiation and states of coherence. Quantum wavefields.",Nursing,UNCC
2258,OPTI 8271 , Advanced Physical Optics ,"Advanced study of electromagnetic wave propagation, stratified media, physics of geometrical optics, polarization and crystal optics, absorption and dispersion, interference, propagation and diffraction.",Nursing,UNCC
2259,OPTI 8281 , Modern Optics Laboratory ,"Selected experiments in areas of modern optics such as fiber optics, interferometry, spectroscopy, polarization, optical metrology, and holography. Six laboratory hours per week.",Nursing,UNCC
2260,OPTI 8301 , Introduction to Instrumentation and Processing at the Nanoscale ,"Methods of manipulating, engineering, and characterizing nanoscale materials are introduced; applications and principles of their operation are discussed.  Students acquire hands-on experience with selected laboratory methods in preparation for dissertation research.  Topics include, but are not limited to, scanning probe and electron microscopy methods, cleanroom technology, nanoscale optical and e-beam lithography, nuclear magnetic resonance, mass spectrometry, luminescence methods, interferometry, gel permeation chromatography, surface area analysis, and small-angle x-ray and neutron scattering.Cross-listed as: OPTI 6301  and NANO 8101 .  ",Nursing,UNCC
2261,OPTI 8302 , Nanoscale Phenomena ,"Nano-optics (near-field optics, limits of lithography masks, nano-dots and nanoscale optical interactions).  Nanoscale mechanics.  Nanotribology. Biological and biologically-inspired machines.Cross-listed as: OPTI 6302 , CHEM 6102 , and NANO 8102 .   ",Nursing,UNCC
2262,OPTI 8303 , Collaborative Research Proposal ,"Effective strategies for designing and writing research proposals are presented by program faculty members, and staff from proposal development offices on campus.  Students work in teams of 2-3 to prepare an original, interdisciplinary research proposal on a topic in nanoscale science.  The proposal conforms to regulations of a selected funding agency and must address a topic that is supported by that agency.  Each team consults regularly with a panel of 2-3 faculty members who collectively approve the proposal topic, provide feedback during the development of the proposal, and ultimately evaluate the proposal.  The course is designed to increase the ability of students to relate research ideas to fundamental concepts in science and engineering, to help students learn to develop effective methods of presenting ideas and defending them, to help students develop self confidence in their abilities to present and defend ideas, and to improve oral and written communication skills. Cross-listed as: OPTI 6303  and NANO 8203 .  ",Nursing,UNCC
2263,OPTI 8341 , Applied Quantum Mechanics ,"Principles of non-relativistic wave mechanics.  The Schrodinger equation, linear harmonic oscillator and WKB approximation.  Central forces and angular momentum.  The hydrogen atom.  Applications of quantum mechanics in materials and optics.Cross-listed as: OPTI 6341  and PHYS 6141 .  ",Nursing,UNCC
2264,OPTI 8371 , Solid State Materials ,"Crystal structure. Electromagnetic, electron, mechanical, and elastic wave interactions with crystals.  Theory of X-ray diffraction.  Energy band theory of metals and semiconductors.  Optical properties of solids, phase transitions, and amorphous solids.  Quantum mechanics of covalent bonding, phonon excitation, and thermal energy.Cross-listed as: OPTI 6371  and PHYS 6271 .  ",Nursing,UNCC
2265,OPTI 8381 , Engineering Metrology ,"Introduction to metrology and standards.  Uncertainty, precision and accuracy in metrology.  Measurement of size and form, computational methods in measurement of form. Measurement of surface texture and out of roundness. Machine tool and robot accuracy and calibration. Evaluation of screw threads and gears. Introduction to design of precision instruments.  Cross-listed as: MEGR 6181 , MEGR 8181 , and OPTI 6381 .  ",Nursing,UNCC
2266,OPTI 8384 , Advanced Surface Metrology ,"Constituents of surface texture, stylus, optical, atomic force microscope and other advanced methods of measuring surface texture.  Two and three dimensional measurement of surfaces. Separation of form, waviness and roughness.  Random process analysis techniques, use of transforms for filtering.  Numerical evaluation of surface texture.  Use of surface texture as fingerprint of the process.  Relationship between function and surface texture.",Nursing,UNCC
2267,OPTI 8400 , Industrial Internship ,Full- or part-time academic year internship in optical science/optical engineering complementary to the major course of studies and designed to allow theoretical and course-based practical learning to be applied in a supervised industrial experience.  Requires a mid-term report and final report to be graded by the supervising faculty.,Nursing,UNCC
2268,OPTI 8610 , Seminar ,"Utilizing library resources, materials, and research tools.  Using presentation software and developing presentation skills for effective technical presentations.  Patents and technology transfer.  Ethical issues in science and engineering.  Current topics in optics.Cross-listed as: OPTI 6610 .  ",Nursing,UNCC
2269,OPTI 8611 , Graduate Colloquium ,Students present seminars on current topics in optical science and engineering. Cross-listed as: OPTI 6611 . ,Nursing,UNCC
2270,OPTI 8800 , Independent Study ,"Independent study pursued by the student, or a group of students, under the direction of a professor.",Nursing,UNCC
2271,OPTI 8991 , Dissertation Research ,Research for the dissertation. ,Nursing,UNCC
2272,NANO 8001 , Perspectives at the Nanoscale ,"NANO program faculty members present and discuss their research in nanoscale science to: (1) demonstrate how scientists from different disciplines approach problem-solving at the nanoscale, and (2) expose students to research opportunities for dissertation work. Students write summaries of the presentations. ",Nursing Practice-Doctoral,UNCC
2273,NANO 8060 , Special Topics in Nanoscale Science ,Selected topics in nanoscale science. ,Nursing Practice-Doctoral,UNCC
2274,NANO 8101 , Introduction to Instrumentation and Processing at the Nanoscale ,"Methods of manipulating, engineering, and characterizing nanoscale materials are introduced; applications and principles of their operation are discussed. Students acquire hands-on experience with selected laboratory methods in preparation for dissertation research. Topics include, but are not limited to, scanning probe and electron microscopy methods, cleanroom technology, nanoscale optical and e-beam lithography, nuclear magnetic resonance, mass spectrometry, luminescence methods, interferometry, gel permeation chromatography, surface area analysis, and small-angle x-ray and neutron scattering.Cross-listed as: OPTI 6301  and OPTI 8301 .  ",Nursing Practice-Doctoral,UNCC
2275,NANO 8102 , Nanoscale Phenomena ,"Topics include: scaling phenomena; nano-optics (near-field optics, limits of lithography masks, nano-dots and nanoscale optical interactions); nanoscale mechanics; nanotribology; biological and biologically-inspired machines.Cross-listed as: CHEM 6102 , OPTI 6302 , and OPTI 8302 .  ",Nursing Practice-Doctoral,UNCC
2276,NANO 8103 , Synthesis and Characterization of Nanomaterials ,"Topics include: quantum dots, metallic nanoparticles, carbon nanostructured materials and nanotubes, zeolites, organic-inorganic polymers, composite materials, solution-phase colloids, sol-gel process, silica spheres, porous silicon, photonic crystals.",Nursing Practice-Doctoral,UNCC
2277,NANO 8104 , Fabrication of Nanomaterials ,"Lithographic methods (CVD, PVD, e-beam, ion beam, magnetron, evaporation, spin coating, mask fabrication, developing resists); microelectromechanical systems and nanoelectromechanical systems; limits of conventional mechanical processing, electroforming, growth mechanisms (organic, inorganic, thermal); powders.",Nursing Practice-Doctoral,UNCC
2278,NANO 8201 , Research Group Rotations ,"Students interact on a regular basis with selected research groups in nanoscale science from at least three different departments at UNC Charlotte. Specific activities range from meeting with the group’s professor and/or other group members, attending group meetings, and observing laboratory experiments and procedures. Research groups are chosen so that each student is exposed to an array of research activities of the Nanoscale Science faculty. At the end of each rotation, the visiting student delivers a presentation to the visited research group, describing what the student learned about the visited group’s research activities. ",Nursing Practice-Doctoral,UNCC
2279,NANO 8202 , Interdisciplinary Team Project ,"An encapsulated, semester-long research experience designed to introduce students to laboratory work in nanoscale science. Students work, in interdisciplinary teams of 2-4 students, on a short research project and present their results during a meeting of the Nanoscale Science Colloquium.",Nursing Practice-Doctoral,UNCC
2280,NANO 8203 , Collaborative Research Proposal ,"Effective strategies for designing and writing research proposals are presented by program faculty members, and staff from proposal development offices on campus. Students work in teams of 2-3 to prepare an original, interdisciplinary research proposal on a topic in nanoscale science. The proposal conforms to regulations of a selected funding agency and must address a topic that is supported by that agency. Each team consults regularly with a panel of 2-3 faculty members who collectively approve the proposal topic, provide feedback during the development of the proposal, and ultimately evaluate the proposal. The course is designed to increase the ability of students to relate research ideas to fundamental concepts in science and engineering, to help students learn to develop effective methods of presenting ideas and defending them, to help students develop self confidence in their abilities to present and defend ideas, and to improve oral and written communication skills.Cross-listed as: OPTI 6303  and OPTI 8303 .  ",Nursing Practice-Doctoral,UNCC
2281,NANO 8681 , Nanoscale Science Seminar ,Students attend weekly seminars of visiting speakers of the Nanoscale Science program or other approved programs on campus. Seminars are selected to best meet the educational needs of the individual student. Students submit for grading summaries of the seminars attended.  ,Nursing Practice-Doctoral,UNCC
2282,NANO 8682 , Nanoscale Science Colloquium ,"Students present seminars on current topics in nanoscale science to the faculty and student participants of the program. Presentations address dissertation research, the current literature, group projects, and special topics. The colloquium provides an opportunity for students to discuss topics in Nanoscale Science with faculty from all of the participating disciplines.  ",Nursing Practice-Doctoral,UNCC
2283,NANO 8900 , Dissertation Research ,Research for the dissertation.  ,Nursing Practice-Doctoral,UNCC
2284,NUNP 6202 , Complex Healthcare Management of Adults ,"Provides students with the opportunity to integrate knowledge from advanced assessment, pathophysiology, pharmacotherapeutics, theory and research to provide the advanced practice nurse with the requisite skills in the management of acutely ill adults in a variety of settings. Emphasis is placed on the use of diagnostic reasoning skills in the assessment, diagnosis, and plan of care, including pharmacological, and nonpharmacological management of acutely ill adults with urgent and emergent complex health issues. Application of models and theories to guide advanced nursing practice and planned evidence-based care of the adult with acute and/or chronic illness is expected in order to promote quality outcomes.",Operations Management,UNCC
2285,NUNP 6203 , Advanced Care of Critically Ill Adults ,"Provide students with the opportunity to integrate knowledge from advanced assessment, pathophysiology, pharmacotherapeutics, theory, and research to provide the advanced practice nurse with the requisite skills in the management of critically ill adults in a variety of environments. Emphasis is placed on the use of diagnostic reasoning skills in the assessment, diagnosis, and plan of care including pharmacological and non-pharmacological management of critically ill adults with life threatening, rapidly changing physiological, and pathophysiological conditions. Application of models and theories to guide advanced nursing practice and planned evidence-based care of adult with critical illness is expected in order to promote quality outcomes.  240 supervised clinical hours.",Operations Management,UNCC
2286,NUNP 6240 , Advanced Primary Care Reproductive Health ,"Focuses on the role of the nurse practitioner in the primary care of family members in the reproductive stages. Uses a developmental approach to provide knowledge needed for advanced understanding and care of common health concerns related to the reproductive organs, including the genitourinary, and reproductive cycles of men and women. Concepts of health promotion, health maintenance, cultural competence and environmental variations are integrated throughout the course.",Operations Management,UNCC
2287,NUNP 6250 , Advanced Primary Care and Health Promotion of Adults Across the Lifespan ,"Builds on knowledge of advanced assessment, pathophysiology, pharmacotherapeutics, and theory and research to provide the advance practice nurse with the framework to manage adults with chronic illness in healthcare settings. Emphasis is placed on a wellness focus in the care of adults throughout the life span with common reoccurring acute illnesses and stable chronic conditions. Models of health promotion, disease prevention, health education and wellness will be used to guide the advanced practice nurse in assessing, diagnosing and planning care for adults. The case study approach is used as a framework to implement the diagnostic reasoning and clinical decision making process.",Operations Management,UNCC
2288,NUNP 6260 , Advanced Primary Care of Children and Adolescents ,Focus is on the role of the family nurse practitioner in the primary care of families with children and adolescents. The course uses a developmental approach to providing knowledge needed for advanced clinical decision making related to children with common health problems including acute episodic illness and stable chronic disease. Concepts of health promotion and maintenance and cultural and environmental variables are integrated throughout.,Operations Management,UNCC
2289,NUNP 6400 , Internship in Family Health Nursing ,Role of the family nurse practitioner in the assessment and management of the health of individuals and families across the lifespan. Implementation of clinical decision making skills in family health promotion and management of acute episodic and stable chronic conditions and consideration of professional practice issues.   Includes one credit hour of seminar/case presentation and three credit hours of clinical practice. 240 clinical hours. Individually arranged. ,Operations Management,UNCC
2290,NUNP 6401 , Advanced Care and Health Promotion Adults Practicum ,"Emphasis on the role of the advanced practice nurse in promoting healthy life-styles to prevent or minimize the effects of chronic illness. Students incorporate critical thinking and diagnostic reasoning in assessing, diagnosing, monitoring, coordinating, managing outcomes and communicating healthcare findings of adults and their families in individually arranged ambulatory care settings.  120 supervised clinical hours. ",Operations Management,UNCC
2291,NUNP 6402 , Advanced Practice Nursing in Complex Care Practicum ,This clinical course focuses on treatment and outcome management of acutely ill clients with multisystem problems. Emphasis on the role of the advanced practice nurse in helping acutely ill adults manage the effects of urgent and emergent complex health issues and achieve quality outcomes in individually arranged ambulatory care settings. 240 supervised clinical hours.,Operations Management,UNCC
2292,NUNP 6403 , Advanced Care of Critically Ill Adults Practicum ,"This clinical course focuses on the outcome management of critically ill adults with life threatening, rapidly changing physiological and pathophysiological conditions. Emphasis is on the role of the advanced practice nurse in developing, implementing and evaluating advanced care of critically ill adults. Clinical experiences are designed to provide opportunities in management and delivery of evidence-based care for the achievement of quality outcomes in a variety of healthcare environments. 240 supervised clinical hours. ",Operations Management,UNCC
2293,NUNP 6431 , Advanced Acute Care Skills Lab ,Clinical practicum provides an opportunity for students to learn and practice commonly encountered advanced critical care skills required for performing assessments and technical procedures on acutely and critically ill adults. 60 lab/clinical hours.,Operations Management,UNCC
2294,NUNP 6440 , Advanced Primary Care Reproductive Health Practicum ,This clinical course is designed to provide the family nurse practitioner student with the opportunity to manage the reproductive and GU care in primary care settings. Uses a developmental approach to increase competence in providing care to clients from diverse backgrounds. The focus is on the synthesis of knowledge from the physical and psychosocial sciences to formulate advanced clinical decisions effective in reproductive healthcare.  120 supervised clinical hours.  Individually arranged.,Operations Management,UNCC
2295,NUNP 6450 , Advanced Primary Care and Health Promotion of Adults Practicum ,This clinical course is designed to provide family nurse practitioner students the opportunity to manage the healthcare of adults in primary care settings. Uses a developmental approach to manage the care of adults from diverse backgrounds. The focus is on the synthesis of knowledge from the physical and psychosocial sciences to formulate advanced clinical decisions effective in the healthcare of adults and their families. 120 supervised clinical hours.  Individually arranged.,Operations Management,UNCC
2296,NUNP 6460 , Advanced Primary Care of Children and Adolescents Practicum ,This clinical course is designed to provide family nurse practitioner students the opportunity to manage the healthcare of children and adolescents in primary care settings. Uses a developmental approach to guide management of the healthcare of children and adolescents from diverse backgrounds. The focus is on the synthesis of knowledge from the physical and psychosocial sciences to formulate advanced clinical decisions effective in the healthcare of children and adolescents and their families. 120 clinical hours. Individiually arranged. ,Operations Management,UNCC
2297,OPER 8122 , Technology Enhanced Decision Making ,An analytical approach to the management process. Generalized models for decision making with major emphasis on application of the scientific method to management problems.,Operations Research,UNCC
2298,OPER 8208 , Supply Chain Management ,"Supply chain management is concerned with all of the activities performed from the initial raw materials to the ultimate consumption of the finished product. From a broad perspective, the course is designed to examine the major aspects of the supply chain: the product flows; the information flows; and the relationships among supply chain participants. The course content is interdisciplinary in nature and will cover a variety of topics such as supply chain information technologies, supply chain design, strategic alliances between supply chain participants and supply chain initiatives.",Operations Research,UNCC
2299,OPRS 5010 , Topics in Decision Mathematics ,Topics in decision mathematics selected to supplement regular course offerings in this area of mathematics. Credit for the M.A. degree in mathematics requires approval of the department.,Optical Science and Engineering,UNCC
2300,OPRS 5111 , Linear Programming ,"Mathematical formulation and solution of linear programming problems. Topics include: the simplex method and its variations, sensitivity and parametric analysis, duality, and applications. A project will be required for all graduate students.",Optical Science and Engineering,UNCC
2301,OPRS 5112 , Nonlinear Programming ,"Basic unconstrained optimization problems, search techniques, some discussion of rates of convergence and an introduction to constrained optimization. Computer implementation and testing of optimization algorithms will be required. A project will be required of all graduate students.",Optical Science and Engineering,UNCC
